,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,49.1762368891185,90.0191404449037,90.0477029654836,95.9072686888386,80.3926844398705,8.33333333333333
1,AOS,False,,53.967525067129,53.967525067129,59.7045798736693,46.6327105376612,56.699816126805,100.0
2,ABT,True,100.0,57.1081282503158,82.2718120561872,77.5997781522643,83.5944573224752,82.7106116107389,31.9444444444444
3,ABBV.K,True,100.0,52.981142818519,82.885362560115,73.1933642907479,95.4689730317055,71.1873211973296,23.0769230769231
4,ABMD.O,False,,25.9380591645089,25.9380591645089,0.0,34.9508881795857,26.1755952380952,100.0
5,ACN,True,100.0,80.6825292664098,80.6825292664098,77.6451581790122,79.4756720822837,82.6329787234042,81.0
6,ATVI.O,True,100.0,46.8769001207181,67.7538002414361,42.6085069444444,66.8499218713811,76.0757279380811,26.0
7,ADM,True,100.0,77.8149470203071,83.6298940406141,78.3629400285739,86.0662635492085,85.2140383584531,72.0
8,ADBE.O,True,100.0,77.8982999911355,77.8982999911355,77.7479888219159,77.2080582809528,78.5377681478919,100.0
9,ADP.O,True,100.0,77.7573706617949,77.7573706617949,43.3723958333332,85.4370489383393,81.4598068166424,100.0
10,AAP,True,100.0,66.3668779969283,66.3668779969283,29.6287732232865,71.9441484333237,78.5389632321987,100.0
11,AES,True,100.0,71.0509599457595,71.0509599457595,52.0068680806929,76.3945633960589,96.4792316309833,100.0
12,AFL,True,40.859,55.1085714254116,55.1085714254116,35.3914090726615,54.9030027182808,61.9207890346474,100.0
13,A,True,100.0,88.6406229335139,88.6406229335139,79.3931184538919,90.9186216326645,89.9567600701226,100.0
14,APD,True,100.0,81.6315597501333,81.6315597501333,92.716381804054,80.6001743254404,63.7959994244919,100.0
15,AKAM.O,True,100.0,59.0028860247821,59.0028860247821,62.3428098556362,45.1507385938882,69.9291469410178,100.0
16,ALK,True,89.993,55.9886586858226,55.9886586858226,46.8788261401897,45.2262341765632,81.8541550135394,100.0
17,ALB,True,100.0,69.6465855568459,69.6465855568459,50.0343009982618,88.4173699665716,72.4889035827539,100.0
18,ARE,True,62.64,74.3456579582438,74.3456579582438,68.0232843125979,76.270291749117,79.9147432634,100.0
19,ALGN.O,False,,53.3017453098446,53.3017453098446,30.7870261737665,47.0041587274617,72.1004365734853,100.0
20,ALLE.K,True,100.0,62.7009452529986,62.7009452529986,63.9384719405004,72.8234830301132,51.9896149949341,100.0
21,LNT.O,True,100.0,53.8431196918828,53.8431196918828,56.1839808395154,41.5249592947063,65.8772642572369,100.0
22,ALL,True,51.0,68.4263680721676,72.146853791394,76.1649229323648,67.3365309635687,76.4195407101998,64.7058823529411
23,GOOGL.O,True,100.0,44.8915261660832,82.2830523321665,76.8118248456789,83.2107990429904,83.1255275771254,7.5
24,GOOG.O,True,100.0,44.8915261660832,82.2830523321665,76.8118248456789,83.2107990429904,83.1255275771254,7.5
25,MO,True,100.0,59.747590421077,87.495180842154,90.5810182204482,93.7501316008758,73.2935948040162,32.0
26,AMZN.O,True,100.0,42.5634951371706,82.8542630016141,88.4531946578391,87.8512109608518,72.8938643189985,2.27272727272727
