,Symbol,11/20/2022
0,MMM,1.7048146099
1,AOS,1.5664998212
2,ABT,1.8495993895
3,ABBV.K,0.7935443542
4,ABMD.O,7.0525361665
5,ACN,1.2332511161
6,ATVI.O,5.2077975944
7,ADM,1.4538454529
8,ADBE.O,1.250577034
9,ADP.O,0.9935857807
10,AAP,1.2114100574
11,AES,1.1318681319
12,AFL,
13,A,2.2242388759
14,APD,1.8128282071
15,AKAM.O,2.4298802669
16,ALK,0.9822099724
17,ALB,1.0713031555
18,ARE,
19,ALGN.O,1.296248943
20,ALLE.K,1.8589487691
21,LNT.O,0.5204479065
22,ALL,
23,GOOGL.O,2.9281134248
24,GOOG.O,2.9281134248
25,MO,0.7090569997
26,AMZN.O,1.1357597739
27,AMCR.K,1.1469723692
28,AMD.O,2.0242924528
29,AEE,0.6963906582
30,AAL.O,0.9121330106
31,AEP.O,0.6284210611
32,AXP,
33,AIG,
34,AMT,0.4113021517
35,AWK,0.7258290518
36,AMP,
37,ABC,0.9105708399
38,AME,1.3617002087
39,AMGN.O,1.5910210112
40,APH,2.434800376
41,ADI.O,1.9414120142
42,ANSS.O,2.1048051875
43,AON,0.9978503644
44,APA.O,1.1242324043
45,AAPL.O,0.8793560286
46,AMAT.O,2.158151511
47,APTV.K,2.0052293796
48,ACGL.O,
49,ANET.K,4.336412186
50,AJG,1.0558948312
51,AIZ,
52,T,1.6075308293
53,ATO,0.8459704103
54,ADSK.O,0.6893300743
55,AZO,0.7717373902
56,AVB,
57,AVY,1.0732760312
58,BKR.O,1.6504163015
59,BALL.K,0.8773727532
60,BAC,
61,BBWI.K,2.3325581395
62,BAX,2.0944287063
63,BDX,1.0422481116
64,WRB,
65,BRKb,
66,BBY,0.9873524452
67,BIO,2.921100012
68,TECH.O,3.4403072413
69,BIIB.O,1.8278581732
70,BLK,
71,BK,
72,BA,1.3253244219
73,BKNG.O,2.10454691
74,BWA,1.7369668246
75,BXP,
76,BSX,1.4780065512
77,BMY,1.5210353027
78,AVGO.O,2.6406623149
79,BR,1.0114207401
80,BRO,1.2485290733
81,BFb,3.6518375242
82,CHRW.O,1.4442751226
83,CDNS.O,1.7666030014
84,CZR.O,1.1259203323
85,CPT,
86,CPB,0.6801801802
87,COF,
88,CAH,1.0780687398
89,KMX,3.1987436122
90,CCL,0.9735780169
91,CARR.K,1.7212916855
92,CTLT.K,2.7201492537
93,CAT,1.4559252186
94,CBOE.K,1.3095869324
95,CBRE.K,1.1975913867
96,CDW.O,1.2712127159
97,CE,1.519760479
98,CNC,
99,CNP,1.7156519711
100,CDAY.K,1.107485502
101,CF,1.8107541899
102,CRL,1.2331721812
103,SCHW.K,
104,CHTR.O,0.2862417724
105,CVX,1.2593034974
106,CMG,1.5813121937
107,CB,
108,CHD,0.5943523516
109,CI,
110,CINF.O,
111,CTAS.O,1.8368353467
112,CSCO.O,1.4320202808
113,C,
114,CFG,
